EmployeeID,Age,Gender,Department,Education,Salary,YearsAtCompany,WorkLifeBalance,OverTime,MaritalStatus,Attrition
1001,25,Male,Sales,Bachelor,45000,2,Good,Yes,Single,Yes
1002,42,Female,HR,Master,72000,10,Excellent,No,Married,No
1003,31,Male,IT,Bachelor,61000,5,Fair,Yes,Single,Yes
1004,29,Female,Finance,Master,58000,3,Good,No,Married,No
1005,36,Male,IT,PhD,92000,8,Excellent,No,Married,No
1006,27,Female,Sales,Bachelor,47000,2,Fair,Yes,Single,Yes
1007,45,Male,Finance,Master,98000,15,Excellent,No,Married,No
1008,33,Female,HR,Bachelor,56000,6,Good,No,Divorced,No
1009,39,Male,IT,Master,81000,11,Good,Yes,Married,No
1010,24,Female,Sales,Bachelor,43000,1,Fair,Yes,Single,Yes
1011,37,Male,IT,PhD,94000,9,Excellent,No,Married,No
1012,30,Female,Finance,Bachelor,59000,4,Good,No,Single,Yes
1013,41,Male,HR,Master,76000,12,Excellent,No,Married,No
1014,28,Female,IT,Bachelor,62000,3,Good,Yes,Single,Yes
1015,34,Male,Sales,Master,67000,7,Good,No,Married,No
1016,26,Female,Finance,Bachelor,51000,2,Fair,Yes,Single,Yes
1017,38,Male,IT,Master,87000,10,Excellent,No,Married,No
1018,32,Female,HR,Bachelor,55000,5,Good,No,Divorced,No
1019,44,Male,Sales,PhD,102000,16,Excellent,No,Married,No
1020,29,Female,IT,Master,64000,4,Good,Yes,Single,Yes
